,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
37,1656498047881503120,1656498047893158216,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,11655096,0,0,0,1656498047893158216,1656498047893158216,1656498047893158216,0,
38,1656498047933082948,1656498047933159491,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,76543,0,0,0,1656498047933159491,1656498047933159491,1656498047933159491,0,
39,1656498047948833083,1656498047948859854,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,26771,0,0,0,1656498047948859854,1656498047948859854,1656498047948859854,0,
40,1656498048010129755,1656498048037755611,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27625856,1656498048015069379,0,0,22686232,1656498048037755611,1656498048037755611,0,
41,1656498048015070900,1656498048037879362,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,22808462,0,0,0,1656498048037879362,1656498048037879362,1656498048037879362,0,
42,1656498048078056576,1656498048078091642,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35066,0,0,0,1656498048078091642,1656498048078091642,1656498048078091642,0,
43,1656498048087206380,1656498048087248963,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42583,0,0,0,1656498048087248963,1656498048087248963,1656498048087248963,0,
44,1656498048171968762,1656498048207098658,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,35129896,1656498048175119499,0,0,31979159,1656498048207098658,1656498048207098658,0,
45,1656498048175120244,1656498048207250496,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,32130252,0,0,0,1656498048207250496,1656498048207250496,1656498048207250496,0,
46,1656498048232192382,1656498048232237055,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,44673,0,0,0,1656498048232237055,1656498048232237055,1656498048232237055,0,
47,1656498048239495051,1656498048239532913,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37862,0,0,0,1656498048239532913,1656498048239532913,1656498048239532913,0,
48,1656498048299966359,1656498048342271908,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,42305549,1656498048320628583,0,0,21643325,1656498048342271908,1656498048342271908,0,
49,1656498048320631261,1656498048342411778,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,21780517,0,0,0,1656498048342411778,1656498048342411778,1656498048342411778,0,
50,1656498048378875989,1656498048378913085,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37096,0,0,0,1656498048378913085,1656498048378913085,1656498048378913085,0,
51,1656498048381606040,1656498048381643400,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,37360,0,0,0,1656498048381643400,1656498048381643400,1656498048381643400,0,
52,1656498048476510833,1656498048503902951,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27392118,1656498048479759708,0,0,24143243,1656498048503902951,1656498048503902951,0,
53,1656498048479760790,1656498048504071971,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24311181,0,0,0,1656498048504071971,1656498048504071971,1656498048504071971,0,
54,1656498048546006403,1656498048546037679,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,31276,0,0,0,1656498048546037679,1656498048546037679,1656498048546037679,0,
55,1656498048555276707,1656498048555327332,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,50625,0,0,0,1656498048555327332,1656498048555327332,1656498048555327332,0,
56,1656498048623584050,1656498048654034249,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,30450199,1656498048627056518,0,0,26977731,1656498048654034249,1656498048654034249,0,
57,1656498048627057601,1656498048654185042,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27127441,0,0,0,1656498048654185042,1656498048654185042,1656498048654185042,0,
58,1656498048704921980,1656498048704962883,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,40903,0,0,0,1656498048704962883,1656498048704962883,1656498048704962883,0,
59,1656498048706419439,1656498048706434688,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,15249,0,0,0,1656498048706434688,1656498048706434688,1656498048706434688,0,
60,1656498048773354679,1656498048802149594,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,28794915,1656498048778129090,0,0,24020504,1656498048802149594,1656498048802149594,0,
61,1656498048778130777,1656498048802535261,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,24404484,0,0,0,1656498048802535261,1656498048802535261,1656498048802535261,0,
62,1656498048835657158,1656498048835696258,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,39100,0,0,0,1656498048835696258,1656498048835696258,1656498048835696258,0,
63,1656498048842130576,1656498048842158193,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27617,0,0,0,1656498048842158193,1656498048842158193,1656498048842158193,0,
64,1656498048896534184,1656498048896567756,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,33572,0,0,0,1656498048896567756,1656498048896567756,1656498048896567756,0,
65,1656498048905364300,1656498048933250071,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,27885771,1656498048905362266,0,0,27887805,1656498048933250071,1656498048933250071,0,
66,1656498048970514566,1656498048970555680,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41114,0,0,0,1656498048970555680,1656498048970555680,1656498048970555680,0,
67,1656498048976858755,1656498048976899925,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,41170,0,0,0,1656498048976899925,1656498048976899925,1656498048976899925,0,
68,1656498049023773324,1656498049023849316,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,75992,0,0,0,1656498049023849316,1656498049023849316,1656498049023849316,0,
69,1656498049027953465,1656498049027999495,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,46030,0,0,0,1656498049027999495,1656498049027999495,1656498049027999495,0,
70,1656498049115625511,1656498049116189476,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,563965,0,0,0,1656498049116189476,1656498049116189476,1656498049116189476,0,
71,1656498049131680055,1656498049149062213,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,17382158,1656498049131678235,0,0,17383978,1656498049149062213,1656498049149062213,0,
72,1656498049229471927,1656498049229512050,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,40123,0,0,0,1656498049229512050,1656498049229512050,1656498049229512050,0,
73,1656498049229529810,1656498049229539385,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,9575,0,0,0,1656498049229539385,1656498049229539385,1656498049229539385,0,
74,1656498049307486252,1656498049332679819,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,25193567,1656498049313054246,0,0,19625573,1656498049332679819,1656498049332679819,0,
75,1656498049313056288,1656498049332781780,Timing,TrafficLightsPerceptionComponent::OnReceiveImage,19725492,0,0,0,1656498049332781780,1656498049332781780,1656498049332781780,0,
