,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
42,1656498049931541357,1656498049931666174,Timing,RTKLocalizationComponent::Proc,124817,0,0,0,1656498049931666174,1656498049931666174,1656498049931666174,0,
43,1656498050011494518,1656498050011621227,Timing,RTKLocalizationComponent::Proc,126709,0,0,0,1656498050011621227,1656498050011621227,1656498050011621227,0,
44,1656498050091707804,1656498050091807715,Timing,RTKLocalizationComponent::Proc,99911,0,0,0,1656498050091807715,1656498050091807715,1656498050091807715,0,
45,1656498050171803250,1656498050171954535,Timing,RTKLocalizationComponent::Proc,151285,0,0,0,1656498050171954535,1656498050171954535,1656498050171954535,0,
46,1656498050251688898,1656498050251875178,Timing,RTKLocalizationComponent::Proc,186280,0,0,0,1656498050251875178,1656498050251875178,1656498050251875178,0,
47,1656498050331556704,1656498050331786408,Timing,RTKLocalizationComponent::Proc,229704,0,0,0,1656498050331786408,1656498050331786408,1656498050331786408,0,
48,1656498050411689599,1656498050411972207,Timing,RTKLocalizationComponent::Proc,282608,0,0,0,1656498050411972207,1656498050411972207,1656498050411972207,0,
49,1656498050491604090,1656498050491676339,Timing,RTKLocalizationComponent::Proc,72249,0,0,0,1656498050491676339,1656498050491676339,1656498050491676339,0,
50,1656498050571440269,1656498050571559482,Timing,RTKLocalizationComponent::Proc,119213,0,0,0,1656498050571559482,1656498050571559482,1656498050571559482,0,
51,1656498050651544664,1656498050651728245,Timing,RTKLocalizationComponent::Proc,183581,0,0,0,1656498050651728245,1656498050651728245,1656498050651728245,0,
52,1656498050731561968,1656498050731674050,Timing,RTKLocalizationComponent::Proc,112082,0,0,0,1656498050731674050,1656498050731674050,1656498050731674050,0,
53,1656498050815826639,1656498050815973460,Timing,RTKLocalizationComponent::Proc,146821,0,0,0,1656498050815973460,1656498050815973460,1656498050815973460,0,
54,1656498050891381385,1656498050891460338,Timing,RTKLocalizationComponent::Proc,78953,0,0,0,1656498050891460338,1656498050891460338,1656498050891460338,0,
55,1656498050971692202,1656498050971775921,Timing,RTKLocalizationComponent::Proc,83719,0,0,0,1656498050971775921,1656498050971775921,1656498050971775921,0,
56,1656498051051467636,1656498051051549888,Timing,RTKLocalizationComponent::Proc,82252,0,0,0,1656498051051549888,1656498051051549888,1656498051051549888,0,
57,1656498051131743517,1656498051131817948,Timing,RTKLocalizationComponent::Proc,74431,0,0,0,1656498051131817948,1656498051131817948,1656498051131817948,0,
58,1656498051211583978,1656498051211711024,Timing,RTKLocalizationComponent::Proc,127046,0,0,0,1656498051211711024,1656498051211711024,1656498051211711024,0,
59,1656498051291486467,1656498051291590366,Timing,RTKLocalizationComponent::Proc,103899,0,0,0,1656498051291590366,1656498051291590366,1656498051291590366,0,
60,1656498051371477178,1656498051371605971,Timing,RTKLocalizationComponent::Proc,128793,0,0,0,1656498051371605971,1656498051371605971,1656498051371605971,0,
61,1656498051451527989,1656498051451677148,Timing,RTKLocalizationComponent::Proc,149159,0,0,0,1656498051451677148,1656498051451677148,1656498051451677148,0,
62,1656498051531448010,1656498051531573127,Timing,RTKLocalizationComponent::Proc,125117,0,0,0,1656498051531573127,1656498051531573127,1656498051531573127,0,
