,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
31,1656595072732460363,1656595072814621199,Timing,PlanningComponent::Proc,82160836,1656595072620296595,1656595072660552098,1656595072648059784,1656595072751640596,0,194324604,154069101,166561415,62980603,1656595072814621199,1,4
32,1656595072850389301,1656595072932099658,Timing,PlanningComponent::Proc,81710357,1656595072751624117,1656595072811186699,1656595072763525149,1656595072751640596,0,180475541,120912959,168574509,180459062,1656595072932099658,1,5
33,1656595072938425803,1656595073061344881,Timing,PlanningComponent::Proc,122919078,1656595072751624117,1656595072835697470,1656595072828935056,1656595072952710032,0,309720764,225647411,232409825,108634849,1656595073061344881,1,4
34,1656595073070764200,1656595073160127626,Timing,PlanningComponent::Proc,89363426,1656595072898326166,1656595072931681005,1656595072910890282,1656595072952710032,0,261801460,228446621,249237344,207417594,1656595073160127626,1,5
35,1656595073160662090,1656595073271064264,Timing,PlanningComponent::Proc,110402174,1656595073073564719,1656595073096599403,1656595073031503891,1656595073169936426,0,197499545,174464861,239560373,101127838,1656595073271064264,1,4
36,1656595073276903462,1656595073443898907,Timing,PlanningComponent::Proc,166995445,1656595073073564719,1656595073185416679,1656595073132712861,1656595073365013010,0,370334188,258482228,311186046,78885897,1656595073443898907,1,4
37,1656595073452959438,1656595073558571811,Timing,PlanningComponent::Proc,105612373,1656595073278281186,1656595073358604350,1656595073333826436,1656595073365013010,0,280290625,199967461,224745375,193558801,1656595073558571811,1,4
38,1656595073559216219,1656595073700135910,Timing,PlanningComponent::Proc,140919691,1656595073470456085,1656595073440176727,1656595073415863375,1656595073540272738,0,229679825,259959183,284272535,159863172,1656595073700135910,1,4
39,1656595073700948016,1656595073814009657,Timing,PlanningComponent::Proc,113061641,1656595073548938671,1656595073639233224,1656595073609461812,1656595073673770757,0,265070986,174776433,204547845,140238900,1656595073814009657,1,4
40,1656595073821837886,1656595073935640897,Timing,PlanningComponent::Proc,113803011,1656595073726348503,1656595073731073752,1656595073688633675,1656595073818190048,0,209292394,204567145,247007222,117450849,1656595073935640897,1,4
41,1656595073938433566,1656595074097231592,Timing,PlanningComponent::Proc,158798026,1656595073876179962,1656595073902714543,1656595073896254370,1656595073962018768,0,221051630,194517049,200977222,135212824,1656595074097231592,1,4
42,1656595074097701656,1656595074289953088,Timing,PlanningComponent::Proc,192251432,1656595073967935502,1656595073998352008,1656595073968734374,1656595074114307496,0,322017586,291601080,321218714,175645592,1656595074289953088,1,4
43,1656595074290561402,1656595074436366473,Timing,PlanningComponent::Proc,145805071,1656595074187298695,1656595074212142271,1656595074203072457,1656595074262252045,0,249067778,224224202,233294016,174114428,1656595074436366473,1,3
44,1656595074437077567,1656595074529363157,Timing,PlanningComponent::Proc,92285590,1656595074342528294,1656595074347197591,1656595074276256194,1656595074413588467,0,186834863,182165566,253106963,115774690,1656595074529363157,1,1
45,1656595074530000967,1656595074630901718,Timing,PlanningComponent::Proc,100900751,1656595074425507328,1656595074489460343,1656595074484112516,1656595074549912794,0,205394390,141441375,146789202,80988924,1656595074630901718,1,5
46,1656595074632289108,1656595074733940942,Timing,PlanningComponent::Proc,101651834,1656595074549741084,1656595074557604714,1656595074484112516,1656595074549912794,0,184199858,176336228,249828426,184028148,1656595074733940942,1,4
47,1656595074734782928,1656595074838771827,Timing,PlanningComponent::Proc,103988899,1656595074635842676,1656595074638483450,1656595074615514901,1656595074746731292,0,202929151,200288377,223256926,92040535,1656595074838771827,1,4
48,1656595074845188626,1656595074935253024,Timing,PlanningComponent::Proc,90064398,1656595074668682965,1656595074728464440,1656595074700024669,1656595074746731292,0,266570059,206788584,235228355,188521732,1656595074935253024,1,5
49,1656595074935956130,1656595075031999699,Timing,PlanningComponent::Proc,96043569,1656595074869902939,1656595074906991468,1656595074826302379,1656595074978259522,0,162096760,125008231,205697320,53740177,1656595075031999699,1,5
50,1656595075032736919,1656595075109975240,Timing,PlanningComponent::Proc,77238321,1656595074978446959,1656595074980573463,1656595074944256451,1656595074978259522,0,131528281,129401777,165718789,131715718,1656595075109975240,1,4
51,1656595075122382280,1656595075193685626,Timing,PlanningComponent::Proc,71303346,1656595075027484943,1656595075085496953,1656595075025492207,1656595075113670152,0,166200683,108188673,168193419,80015474,1656595075193685626,1,4
52,1656595075250449999,1656595075318755806,Timing,PlanningComponent::Proc,68305807,1656595075184948867,1656595075211519483,1656595075140272949,1656595075242630808,0,133806939,107236323,178482857,76124998,1656595075318755806,1,5
53,1656595075351722219,1656595075425158952,Timing,PlanningComponent::Proc,73436733,1656595075242622689,1656595075324676660,1656595075251630027,1656595075410022319,0,182536263,100482292,173528925,15136633,1656595075425158952,1,3
54,1656595075484044249,1656595075569819569,Timing,PlanningComponent::Proc,85775320,1656595075414366405,1656595075446684524,1656595075381836554,1656595075537272379,0,155453164,123135045,187983015,32547190,1656595075569819569,1,4
55,1656595075575543417,1656595075624862066,Timing,PlanningComponent::Proc,49318649,1656595075474353506,1656595075509969954,1656595075493937670,1656595075537272379,0,150508560,114892112,130924396,87589687,1656595075624862066,1,4
56,1656595075663658577,1656595075761126783,Timing,PlanningComponent::Proc,97468206,1656595075598582314,1656595075634124340,1656595075623801094,1656595075726950634,0,162544469,127002443,137325689,34176149,1656595075761126783,1,4
57,1656595075802616734,1656595075877310340,Timing,PlanningComponent::Proc,74693606,1656595075726833500,1656595075760681437,1656595075750353574,1656595075726950634,0,150476840,116628903,126956766,150359706,1656595075877310340,1,5
58,1656595075883977456,1656595075959208965,Timing,PlanningComponent::Proc,75231509,1656595075784597495,1656595075803932675,1656595075750353574,1656595075892050993,0,174611470,155276290,208855391,67157972,1656595075959208965,1,5
59,1656595075959786348,1656595076026990047,Timing,PlanningComponent::Proc,67203699,1656595075892018030,1656595075931807622,1656595075855161966,1656595075892050993,0,134972017,95182425,171828081,134939054,1656595076026990047,1,5
60,1656595076088272486,1656595076187483620,Timing,PlanningComponent::Proc,99211134,1656595076024897444,1656595076062884940,1656595075991057501,1656595076025203452,0,162586176,124598680,196426119,162280168,1656595076187483620,1,6
61,1656595076187994425,1656595076235751669,Timing,PlanningComponent::Proc,47757244,1656595076099178098,1656595076120609374,1656595076111865567,1656595076213930372,0,136573571,115142295,123886102,21821297,1656595076235751669,1,7
62,1656595076288608499,1656595076393455111,Timing,PlanningComponent::Proc,104846612,1656595076215845380,1656595076244839485,1656595076233887448,1656595076342054767,0,177609731,148615626,159567663,51400344,1656595076393455111,1,7
63,1656595076394167342,1656595076462484150,Timing,PlanningComponent::Proc,68316808,1656595076272911946,1656595076308855815,1656595076233887448,1656595076342054767,0,189572204,153628335,228596702,120429383,1656595076462484150,1,5
64,1656595076474197902,1656595076541840444,Timing,PlanningComponent::Proc,67642542,1656595076403859962,1656595076441147740,1656595076365477220,1656595076477240939,0,137980482,100692704,176363224,64599505,1656595076541840444,1,5
65,1656595076621310016,1656595076718964854,Timing,PlanningComponent::Proc,97654838,1656595076535044675,1656595076570102656,1656595076501057015,1656595076664168559,0,183920179,148862198,217907839,54796295,1656595076718964854,1,5
66,1656595076719531578,1656595076818856044,Timing,PlanningComponent::Proc,99324466,1656595076650404965,1656595076629007191,1656595076619528032,1656595076664168559,0,168451079,189848853,199328012,154687485,1656595076818856044,1,5
67,1656595076819594642,1656595076900008009,Timing,PlanningComponent::Proc,80413367,1656595076707904877,1656595076725940542,1656595076707984567,1656595076861045982,0,192103132,174067467,192023442,38962027,1656595076900008009,1,5
68,1656595076909209912,1656595077002915565,Timing,PlanningComponent::Proc,93705653,1656595076767048566,1656595076836642247,1656595076826012231,1656595076861045982,0,235866999,166273318,176903334,141869583,1656595077002915565,1,5
69,1656595077005183943,1656595077080557497,Timing,PlanningComponent::Proc,75373554,1656595076864880937,1656595076901038383,1656595076896047533,1656595076861045982,0,215676560,179519114,184509964,219511515,1656595077080557497,1,6
70,1656595077081141634,1656595077162794941,Timing,PlanningComponent::Proc,81653307,1656595076984905942,1656595077023038560,1656595077005381155,1656595077080330916,0,177888999,139756381,157413786,82464025,1656595077162794941,1,5
71,1656595077163580322,1656595077250237006,Timing,PlanningComponent::Proc,86656684,1656595077080322856,1656595077108942853,1656595077101613521,1656595077080330916,0,169914150,141294153,148623485,169906090,1656595077250237006,1,5
72,1656595077258469894,1656595077329853250,Timing,PlanningComponent::Proc,71383356,1656595077140712086,1656595077167692906,1656595077101613521,1656595077260001046,0,189141164,162160344,228239729,69852204,1656595077329853250,1,5
73,1656595077381304054,1656595077441289320,Timing,PlanningComponent::Proc,59985266,1656595077313105643,1656595077326798936,1656595077308922645,1656595077260001046,0,128183677,114490384,132366675,181288274,1656595077441289320,1,5
74,1656595077500472095,1656595077566248305,Timing,PlanningComponent::Proc,65776210,1656595077367907084,1656595077450536950,1656595077441380164,1656595077479097435,0,198341221,115711355,124868141,87150870,1656595077566248305,1,5
75,1656595077599948948,1656595077677137588,Timing,PlanningComponent::Proc,77188640,1656595077479102485,1656595077546847894,1656595077537024041,1656595077634310482,0,198035103,130289694,140113547,42827106,1656595077677137588,1,5
76,1656595077733243410,1656595077798614658,Timing,PlanningComponent::Proc,65371248,1656595077634290458,1656595077679795726,1656595077661354951,1656595077793689184,0,164324200,118818932,137259707,4925474,1656595077798614658,1,5
77,1656595077799319909,1656595077865597843,Timing,PlanningComponent::Proc,66277934,1656595077713809201,1656595077762143968,1656595077752345300,1656595077793689184,0,151788642,103453875,113252543,71908659,1656595077865597843,1,4
78,1656595077976490784,1656595078038896700,Timing,PlanningComponent::Proc,62405916,1656595077889456807,1656595077946498462,1656595077936657636,1656595077980047438,0,149439893,92398238,102239064,58849262,1656595078038896700,1,4
79,1656595078091005581,1656595078157742373,Timing,PlanningComponent::Proc,66736792,1656595077980245355,1656595078049175064,1656595078034455908,1656595078152473533,0,177497018,108567309,123286465,5268840,1656595078157742373,1,5
80,1656595078165269371,1656595078234208446,Timing,PlanningComponent::Proc,68939075,1656595078078774711,1656595078121435981,1656595078112883025,1656595078152473533,0,155433735,112772465,121325421,81734913,1656595078234208446,1,6
81,1656595078269622896,1656595078335786942,Timing,PlanningComponent::Proc,66164046,1656595078152486740,1656595078245410248,1656595078235538639,1656595078152473533,0,183300202,90376694,100248303,183313409,1656595078335786942,1,4
82,1656595078493407452,1656595078552993548,Timing,PlanningComponent::Proc,59586096,1656595078365133416,1656595078468052918,1656595078448928555,1656595078506563009,0,187860132,84940630,104064993,46430539,1656595078552993548,1,4
83,1656595078576507900,1656595078635787121,Timing,PlanningComponent::Proc,59279221,1656595078506563519,1656595078554127969,1656595078543751399,1656595078506563009,0,129223602,81659152,92035722,129224112,1656595078635787121,1,4
84,1656595078694590605,1656595078759853816,Timing,PlanningComponent::Proc,65263211,1656595078583050194,1656595078671186012,1656595078661404416,1656595078700490975,0,176803622,88667804,98449400,59362841,1656595078759853816,1,3
85,1656595078775695218,1656595078839145931,Timing,PlanningComponent::Proc,63450713,1656595078700885073,1656595078754676544,1656595078736050225,1656595078700490975,0,138260858,84469387,103095706,138654956,1656595078839145931,1,3
86,1656595078878606262,1656595078937620260,Timing,PlanningComponent::Proc,59013998,1656595078784185535,1656595078857028217,1656595078848519051,1656595078889957132,0,153434725,80592043,89101209,47663128,1656595078937620260,1,3
87,1656595078969444735,1656595079021789978,Timing,PlanningComponent::Proc,52345243,1656595078892975398,1656595078927882544,1656595078917994019,1656595078889957132,0,128814580,93907434,103795959,131832846,1656595079021789978,1,3
88,1656595079058054302,1656595079121265789,Timing,PlanningComponent::Proc,63211487,1656595078957972592,1656595079038288763,1656595079029763251,1656595079076316205,0,163293197,82977026,91502538,44949584,1656595079121265789,1,2
89,1656595079144666957,1656595079208151920,Timing,PlanningComponent::Proc,63484963,1656595079076835191,1656595079122662470,1656595079112353018,1656595079076316205,0,131316729,85489450,95798902,131835715,1656595079208151920,1,2
90,1656595079219365478,1656595079272310812,Timing,PlanningComponent::Proc,52945334,1656595079150279829,1656595079196132665,1656595079186309697,1656595079227369396,0,122030983,76178147,86001115,44941416,1656595079272310812,1,2
91,1656595079295779531,1656595079350968789,Timing,PlanningComponent::Proc,55189258,1656595079227363963,1656595079275551649,1656595079186309697,1656595079227369396,0,123604826,75417140,164659092,123599393,1656595079350968789,1,2
92,1656595079407850697,1656595079460835981,Timing,PlanningComponent::Proc,52985284,1656595079307350305,1656595079385581987,1656595079367077559,1656595079417998734,0,153485676,75253994,93758422,42837247,1656595079460835981,1,2
93,1656595079487057409,1656595079542738278,Timing,PlanningComponent::Proc,55680869,1656595079417998487,1656595079462270395,1656595079452238276,1656595079417998734,0,124739791,80467883,90500002,124739544,1656595079542738278,1,1
94,1656595079669253864,1656595079730050095,Timing,PlanningComponent::Proc,60796231,1656595079580373109,1656595079647742372,1656595079639184163,1656595079580329169,0,149676986,82307723,90865932,149720926,1656595079730050095,1,1
95,1656595079756224042,1656595079803913106,Timing,PlanningComponent::Proc,47689064,1656595079691448812,1656595079734459028,1656595079724598491,1656595079757656030,0,112464294,69454078,79314615,46257076,1656595079803913106,1,1
96,1656595079820299753,1656595079874988510,Timing,PlanningComponent::Proc,54688757,1656595079760051867,1656595079797283523,1656595079724598491,1656595079757656030,0,114936643,77704987,150390019,117332480,1656595079874988510,1,1
97,1656595079923366250,1656595079974940993,Timing,PlanningComponent::Proc,51574743,1656595079825054799,1656595079897528592,1656595079887401730,1656595079924201386,0,149886194,77412401,87539263,50739607,1656595079974940993,1,3
