,ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,ts_TL,ts_lane,lat_cam,lat_lidar,lat_radar,lat_TL,lat_lane,is_finish,info
34,1656595510953560263,1656595510953633690,Timing,ControlComponent::Proc,73427,0,0,0,0,0,1656595510953633690,1656595510953633690,1656595510953633690,1656595510953633690,1656595510953633690,0,0
35,1656595510963534720,1656595510963590329,Timing,ControlComponent::Proc,55609,0,0,0,0,0,1656595510963590329,1656595510963590329,1656595510963590329,1656595510963590329,1656595510963590329,0,0
36,1656595510973528267,1656595510973581003,Timing,ControlComponent::Proc,52736,0,0,0,0,0,1656595510973581003,1656595510973581003,1656595510973581003,1656595510973581003,1656595510973581003,0,0
37,1656595510983515160,1656595510983576936,Timing,ControlComponent::Proc,61776,0,0,0,0,0,1656595510983576936,1656595510983576936,1656595510983576936,1656595510983576936,1656595510983576936,0,0
38,1656595510993543156,1656595510993599218,Timing,ControlComponent::Proc,56062,0,0,0,0,0,1656595510993599218,1656595510993599218,1656595510993599218,1656595510993599218,1656595510993599218,0,0
39,1656595511003566044,1656595511003634428,Timing,ControlComponent::Proc,68384,0,0,0,0,0,1656595511003634428,1656595511003634428,1656595511003634428,1656595511003634428,1656595511003634428,0,0
40,1656595511013527386,1656595511013606935,Timing,ControlComponent::Proc,79549,0,0,0,0,0,1656595511013606935,1656595511013606935,1656595511013606935,1656595511013606935,1656595511013606935,0,0
41,1656595511023535177,1656595511023589381,Timing,ControlComponent::Proc,54204,0,0,0,0,0,1656595511023589381,1656595511023589381,1656595511023589381,1656595511023589381,1656595511023589381,0,0
42,1656595511033521280,1656595511033583173,Timing,ControlComponent::Proc,61893,0,0,0,0,0,1656595511033583173,1656595511033583173,1656595511033583173,1656595511033583173,1656595511033583173,0,0
43,1656595511043557450,1656595511043631775,Timing,ControlComponent::Proc,74325,0,0,0,0,0,1656595511043631775,1656595511043631775,1656595511043631775,1656595511043631775,1656595511043631775,0,0
44,1656595511053582131,1656595511053687318,Timing,ControlComponent::Proc,105187,0,0,0,0,0,1656595511053687318,1656595511053687318,1656595511053687318,1656595511053687318,1656595511053687318,0,0
45,1656595511063495795,1656595511063545342,Timing,ControlComponent::Proc,49547,0,0,0,0,0,1656595511063545342,1656595511063545342,1656595511063545342,1656595511063545342,1656595511063545342,0,0
46,1656595511073567382,1656595511073657925,Timing,ControlComponent::Proc,90543,0,0,0,0,0,1656595511073657925,1656595511073657925,1656595511073657925,1656595511073657925,1656595511073657925,0,0
47,1656595511083548338,1656595511083613352,Timing,ControlComponent::Proc,65014,0,0,0,0,0,1656595511083613352,1656595511083613352,1656595511083613352,1656595511083613352,1656595511083613352,0,0
48,1656595511093550038,1656595511093605351,Timing,ControlComponent::Proc,55313,0,0,0,0,0,1656595511093605351,1656595511093605351,1656595511093605351,1656595511093605351,1656595511093605351,0,0
49,1656595511103559414,1656595511103634204,Timing,ControlComponent::Proc,74790,0,0,0,0,0,1656595511103634204,1656595511103634204,1656595511103634204,1656595511103634204,1656595511103634204,0,0
50,1656595511113550714,1656595511113597279,Timing,ControlComponent::Proc,46565,0,0,0,0,0,1656595511113597279,1656595511113597279,1656595511113597279,1656595511113597279,1656595511113597279,0,0
51,1656595511123577344,1656595511123693577,Timing,ControlComponent::Proc,116233,0,0,0,0,0,1656595511123693577,1656595511123693577,1656595511123693577,1656595511123693577,1656595511123693577,0,0
