start,execution_time
1.70452E+18,10607686
1.70452E+18,439646667
1.70452E+18,366407147
1.70452E+18,462273623
1.70452E+18,551244041
1.70452E+18,604153102
1.70452E+18,2105773433
1.70452E+18,444611738
1.70452E+18,465629053
1.70452E+18,167363710
1.70452E+18,3063166931
1.70452E+18,52290664
1.70452E+18,54224903
1.70452E+18,60553129
1.70452E+18,47799876
1.70452E+18,51220022
1.70452E+18,37866460
1.70452E+18,48226481
1.70452E+18,45329553
1.70452E+18,36733920
1.70452E+18,134301318
1.70452E+18,99686144
1.70452E+18,97480775
1.70452E+18,118442278
1.70452E+18,119361546
1.70452E+18,115986480
1.70452E+18,102109395
1.70452E+18,98974358
1.70452E+18,91345585
1.70452E+18,143956853
1.70452E+18,90232655
1.70452E+18,82242744
1.70452E+18,105883215
1.70452E+18,84680115
1.70452E+18,85278615
1.70452E+18,90120303
1.70452E+18,85652257
1.70452E+18,113620674
1.70452E+18,98304590
1.70452E+18,115205330
1.70452E+18,423974608
1.70452E+18,255471377
1.70452E+18,290136516
1.70452E+18,395123035
1.70452E+18,275787635
1.70452E+18,303559663
1.70452E+18,378066185
1.70452E+18,537038847
1.70452E+18,341095845
1.70452E+18,429049311
1.70452E+18,510586759
1.70452E+18,322554904
1.70452E+18,368470970
1.70452E+18,333442325
1.70452E+18,392685881
1.70452E+18,386922118
1.70452E+18,303946417
1.70452E+18,412793195
1.70452E+18,428141005
1.70452E+18,390802391
1.70452E+18,387045165
1.70452E+18,257864705
1.70452E+18,319880188
1.70452E+18,254136121
1.70452E+18,364282985
1.70452E+18,309495295
1.70452E+18,355490050
1.70452E+18,406434610
1.70452E+18,389453710
1.70452E+18,317400370
1.70452E+18,334291900
1.70452E+18,228875574
1.70452E+18,255866524
1.70452E+18,287773721
1.70452E+18,360452062
1.70452E+18,354966242
1.70452E+18,344214735
1.70452E+18,327535610
1.70452E+18,365026801
1.70452E+18,392737494
1.70452E+18,464463508
1.70452E+18,469323258
1.70452E+18,450509984
1.70452E+18,488621112
1.70452E+18,547859001
1.70452E+18,561644745
1.70452E+18,377775451
1.70452E+18,443166337
1.70452E+18,278572326
1.70452E+18,301703012
1.70452E+18,405052538
1.70452E+18,441859043
1.70452E+18,276566333
1.70452E+18,271190868
1.70452E+18,309357361
1.70452E+18,313217727
1.70452E+18,248263705
1.70452E+18,314717332
1.70452E+18,331830605
1.70452E+18,319256791
1.70452E+18,443881214
1.70452E+18,414686520
1.70452E+18,303626089
1.70452E+18,257585860
1.70452E+18,324383051
1.70452E+18,238956003
1.70452E+18,282246739
1.70452E+18,332334063
1.70452E+18,394093509
1.70452E+18,425788341
1.70452E+18,488657561
1.70452E+18,400808594
1.70452E+18,315124575
1.70452E+18,322929259
1.70452E+18,298925652
1.70452E+18,348691077
1.70452E+18,253755399
1.70452E+18,248395362
1.70452E+18,288725663
1.70452E+18,416316930
1.70452E+18,314766681
1.70452E+18,438975712
1.70452E+18,389902571
1.70452E+18,179826004
1.70452E+18,329952662
1.70452E+18,312927518
1.70452E+18,358528666
1.70452E+18,316955303
1.70452E+18,394753815
1.70452E+18,378921631
1.70452E+18,380942303
1.70452E+18,294768490
1.70452E+18,307070853
1.70452E+18,346898243
1.70452E+18,285594188
1.70452E+18,419642750
1.70452E+18,362847759
1.70452E+18,444697524
1.70452E+18,464510350
1.70452E+18,355128749
1.70452E+18,501841291
1.70452E+18,347572480
1.70452E+18,482047994
1.70452E+18,440374039
1.70452E+18,650792383
1.70452E+18,405019204
1.70452E+18,327509661
1.70452E+18,223029859
1.70452E+18,352345888
1.70452E+18,324833952
1.70452E+18,331447659
1.70452E+18,365028688
1.70452E+18,526416359
1.70452E+18,339379667
1.70452E+18,428602561
1.70452E+18,356500519
1.70452E+18,310940795
1.70452E+18,297177173
1.70452E+18,296640140
1.70452E+18,345547646
1.70452E+18,345016603
1.70452E+18,347890017
1.70452E+18,401824506
1.70452E+18,369947696
1.70452E+18,520470214
1.70452E+18,479833097
1.70452E+18,496973050
1.70452E+18,436490256
1.70452E+18,572476946
1.70452E+18,543632003
1.70452E+18,582795677
1.70452E+18,487573901
1.70452E+18,428856044
1.70452E+18,432502285
1.70452E+18,400895018
1.70452E+18,357736988
1.70452E+18,475754309
1.70452E+18,493098615
1.70452E+18,486724312
1.70452E+18,433563244
1.70452E+18,428247237
1.70452E+18,442740542
1.70452E+18,429640056
1.70452E+18,496331812
1.70452E+18,477224241
1.70452E+18,392017383
1.70452E+18,452325470
1.70452E+18,50789383
1.70452E+18,40533160
1.70452E+18,285981306
1.70452E+18,287611448
1.70452E+18,374255114
1.70452E+18,352141389
1.70452E+18,378796876
1.70452E+18,322783486
1.70452E+18,366975090
1.70452E+18,297701777
1.70452E+18,345056733
1.70452E+18,407172395
1.70452E+18,339332178
1.70452E+18,358774496
1.70452E+18,379657181
1.70452E+18,356600502
1.70452E+18,526593849
1.70452E+18,457809426
1.70452E+18,467180566
1.70452E+18,386480184
1.70452E+18,517839948
1.70452E+18,409037409
1.70452E+18,360402813
1.70452E+18,337299280
1.70452E+18,330356878
1.70452E+18,378326202
1.70452E+18,377248528
1.70452E+18,400456752
1.70452E+18,432881304
1.70452E+18,535680204
1.70452E+18,363173875
1.70452E+18,365509423
1.70452E+18,345374499
1.70452E+18,369967137
1.70452E+18,332468382
1.70452E+18,429438910
1.70452E+18,330631082
1.70452E+18,47379089
1.70452E+18,209677200
1.70452E+18,149085805
1.70452E+18,40270118
1.70452E+18,31146157
1.70452E+18,58758229
1.70452E+18,264867369
1.70452E+18,202260020
1.70452E+18,228183332
1.70452E+18,381068900
1.70452E+18,303058862
1.70452E+18,375356027
1.70452E+18,359805585
1.70452E+18,44677033
1.70452E+18,53304904
1.70452E+18,55089402
1.70452E+18,40950651
1.70452E+18,44050403
1.70452E+18,46234554
1.70452E+18,54464812
1.70452E+18,50894076
1.70452E+18,59614257
1.70452E+18,32924808
1.70452E+18,95276599
1.70452E+18,87881419
1.70452E+18,80685599
1.70452E+18,85507689
1.70452E+18,100422248
1.70452E+18,107138815
1.70452E+18,79327107
1.70452E+18,116194786
1.70452E+18,87200994
1.70452E+18,102474190
1.70452E+18,83209949
1.70452E+18,96214170
1.70452E+18,91595974
1.70452E+18,93215560
1.70452E+18,131208249
1.70452E+18,80737970
1.70452E+18,93247409
1.70452E+18,111189404
1.70452E+18,95302453
1.70452E+18,83304316
1.70452E+18,124398612
1.70452E+18,73158834
1.70452E+18,90331966
1.70452E+18,77386386
1.70452E+18,109823955
1.70452E+18,82114532
1.70452E+18,96450962
1.70452E+18,92239645
1.70452E+18,92941505
1.70452E+18,93553514
1.70452E+18,93921690
1.70452E+18,107923877
1.70452E+18,129154993
1.70452E+18,107575284
1.70452E+18,94461208
1.70452E+18,112264403
1.70452E+18,101457342
1.70452E+18,85523685
1.70452E+18,95845637
1.70452E+18,100217050
1.70452E+18,102702501
1.70452E+18,72333705
1.70452E+18,88254556
1.70452E+18,75976285
1.70452E+18,108872597
1.70452E+18,98094225
1.70452E+18,91252318
1.70452E+18,89534598
1.70452E+18,112549792
1.70452E+18,106955042
1.70452E+18,88071089
1.70452E+18,77724209
1.70452E+18,97950899
1.70452E+18,82802916
1.70452E+18,95958656
1.70452E+18,86901377
1.70452E+18,94363403
1.70452E+18,73312652
1.70452E+18,118561616
1.70452E+18,91891638
1.70452E+18,97088322
1.70452E+18,94422673
1.70452E+18,94160308
1.70452E+18,97801118
1.70452E+18,100804697
1.70452E+18,90184400
1.70452E+18,119138100
1.70452E+18,78957708
1.70452E+18,97428320
1.70452E+18,87141641
1.70452E+18,87610533
1.70452E+18,83355683
1.70452E+18,112141972
1.70452E+18,103964566
1.70452E+18,111816082
1.70452E+18,89572380
1.70452E+18,110302293
1.70452E+18,96081918
1.70452E+18,123293472
1.70452E+18,99798459
1.70452E+18,97470200
1.70452E+18,109447122
1.70452E+18,125477483
1.70452E+18,88298531
1.70452E+18,89902857
1.70452E+18,85691078
1.70452E+18,117448686
1.70452E+18,76627265
1.70452E+18,98075772
1.70452E+18,94790803
1.70452E+18,97985699
1.70452E+18,91084573
1.70452E+18,95996028
1.70452E+18,92544163
1.70452E+18,99264773
1.70452E+18,92302053
1.70452E+18,113442141
1.70452E+18,91566082
1.70452E+18,99158436
1.70452E+18,92665560
1.70452E+18,99178876
1.70452E+18,105506477
1.70452E+18,95224436
1.70452E+18,81545086
1.70452E+18,91672399
1.70452E+18,78307962
1.70452E+18,113489642
1.70452E+18,74676770
1.70452E+18,98990134
1.70452E+18,78023159
1.70452E+18,119815890
1.70452E+18,93204615
1.70452E+18,97064833
1.70452E+18,91088908
1.70452E+18,92374744
1.70452E+18,96028174
1.70452E+18,112990616
1.70452E+18,77119703
1.70452E+18,93574174
1.70452E+18,76997325
1.70452E+18,110534334
1.70452E+18,87153980
1.70452E+18,108057791
1.70452E+18,90127675
1.70452E+18,89524485
1.70452E+18,84774388
1.70452E+18,110382464
1.70452E+18,100190757
1.70452E+18,90676168
1.70452E+18,68454740
1.70452E+18,98763678
1.70452E+18,78804611
1.70452E+18,99496873
1.70452E+18,76903836
1.70452E+18,113314034
1.70452E+18,100595312
1.70452E+18,111188731
1.70452E+18,87496575
1.70452E+18,108166949
1.70452E+18,85399859
1.70452E+18,94303069
1.70452E+18,97285729
1.70452E+18,114842640
1.70452E+18,97367773
1.70452E+18,119828853
1.70452E+18,79448010
1.70452E+18,92226584
1.70452E+18,124094133
1.70452E+18,102709016
1.70452E+18,97338272
1.70452E+18,108245948
1.70452E+18,112279545
1.70452E+18,110101092
1.70452E+18,89482746
1.70452E+18,106412058
1.70452E+18,85767842
1.70452E+18,110663050
1.70452E+18,93823557
1.70452E+18,109616193
1.70452E+18,102195096
1.70452E+18,100148277
1.70452E+18,83538399
1.70452E+18,99684845
1.70452E+18,83107155
1.70452E+18,82394051
1.70452E+18,74287309
1.70452E+18,89487095
1.70452E+18,86288032
1.70452E+18,105465509
1.70452E+18,97862635
1.70452E+18,108048276
1.70452E+18,79183186
1.70452E+18,86786665
1.70452E+18,76820897
1.70452E+18,86559818
1.70452E+18,84461674
