ts_start,ts_end,type,component,execution_time,ts_cam,ts_lidar,ts_radar,lat_cam,lat_lidar,lat_radar,is_finish,info
1656495030367350515,1656495030379788789,Timing,RadarDetectionComponent::Proc,12438274,0,0,1656495030367348713,1656495030379788789,1656495030379788789,12440076,0,
1656495030491659461,1656495030504367634,Timing,RadarDetectionComponent::Proc,12708173,0,0,1656495030491657819,1656495030504367634,1656495030504367634,12709815,0,
1656495030625129921,1656495030637841181,Timing,RadarDetectionComponent::Proc,12711260,0,0,1656495030625128662,1656495030637841181,1656495030637841181,12712519,0,
1656495030763993913,1656495030764375718,Timing,RadarDetectionComponent::Proc,381805,0,0,1656495030763992641,1656495030764375718,1656495030764375718,383077,0,
1656495030904756286,1656495030908090479,Timing,RadarDetectionComponent::Proc,3334193,0,0,1656495030904755288,1656495030908090479,1656495030908090479,3335191,0,
1656495030963191351,1656495030975700349,Timing,RadarDetectionComponent::Proc,12508998,0,0,1656495030963190082,1656495030975700349,1656495030975700349,12510267,0,
1656495031094709025,1656495031107282221,Timing,RadarDetectionComponent::Proc,12573196,0,0,1656495031094708023,1656495031107282221,1656495031107282221,12574198,0,
1656495031233452123,1656495031233735793,Timing,RadarDetectionComponent::Proc,283670,0,0,1656495031233451271,1656495031233735793,1656495031233735793,284522,0,
1656495031372732337,1656495031385430534,Timing,RadarDetectionComponent::Proc,12698197,0,0,1656495031372729080,1656495031385430534,1656495031385430534,12701454,0,
1656495031506255573,1656495031519073901,Timing,RadarDetectionComponent::Proc,12818328,0,0,1656495031506253730,1656495031519073901,1656495031519073901,12820171,0,
1656495031642422624,1656495031642710170,Timing,RadarDetectionComponent::Proc,287546,0,0,1656495031642420810,1656495031642710170,1656495031642710170,289360,0,
1656495031788351506,1656495031801017591,Timing,RadarDetectionComponent::Proc,12666085,0,0,1656495031788350287,1656495031801017591,1656495031801017591,12667304,0,
1656495031916436065,1656495031929193311,Timing,RadarDetectionComponent::Proc,12757246,0,0,1656495031916433835,1656495031929193311,1656495031929193311,12759476,0,
1656495032057223193,1656495032069885155,Timing,RadarDetectionComponent::Proc,12661962,0,0,1656495032057221037,1656495032069885155,1656495032069885155,12664118,0,
1656495032185187456,1656495032188705944,Timing,RadarDetectionComponent::Proc,3518488,0,0,1656495032185186727,1656495032188705944,1656495032188705944,3519217,0,
1656495032319604845,1656495032332211093,Timing,RadarDetectionComponent::Proc,12606248,0,0,1656495032319603382,1656495032332211093,1656495032332211093,12607711,0,
1656495032429735041,1656495032430053977,Timing,RadarDetectionComponent::Proc,318936,0,0,1656495032429733189,1656495032430053977,1656495032430053977,320788,0,
1656495032560325870,1656495032572992917,Timing,RadarDetectionComponent::Proc,12667047,0,0,1656495032560324873,1656495032572992917,1656495032572992917,12668044,0,
1656495032683261747,1656495032683582612,Timing,RadarDetectionComponent::Proc,320865,0,0,1656495032683258693,1656495032683582612,1656495032683582612,323919,0,
1656495032815340782,1656495032827949467,Timing,RadarDetectionComponent::Proc,12608685,0,0,1656495032815339332,1656495032827949467,1656495032827949467,12610135,0,
1656495032923715447,1656495032936530127,Timing,RadarDetectionComponent::Proc,12814680,0,0,1656495032923713229,1656495032936530127,1656495032936530127,12816898,0,
1656495033033637859,1656495033046270132,Timing,RadarDetectionComponent::Proc,12632273,0,0,1656495033033636112,1656495033046270132,1656495033046270132,12634020,0,
1656495033151949099,1656495033152243517,Timing,RadarDetectionComponent::Proc,294418,0,0,1656495033151947479,1656495033152243517,1656495033152243517,296038,0,
